date,slot,load_pred_kw,pv_pred_kw,load_pred_kwh,pv_pred_kwh
2025-11-11,6,3243.9901352467355,0.0,540.6650225411225,0.0
2025-11-11,7,3265.3102857232675,0.0,544.218380953878,0.0
2025-11-11,8,3364.2243690895184,0.0,560.7040615149198,0.0
2025-11-11,9,3370.755512605797,0.0,561.7925854342994,0.0
2025-11-11,10,3434.173323957954,0.0,572.362220659659,0.0
2025-11-11,11,3420.0771467985246,0.0,570.0128577997541,0.0
2025-11-11,12,3352.771199999152,0.0,558.7951999998587,0.0
2025-11-11,13,3424.4904314331784,0.0,570.748405238863,0.0
2025-11-11,14,3563.9745620563517,0.0,593.9957603427252,0.0
2025-11-11,15,3643.6791185418015,0.0,607.2798530903002,0.0
2025-11-11,16,3607.0262043162206,0.0,601.1710340527035,0.0
2025-11-11,17,3620.970063233061,0.0,603.4950105388435,0.0
2025-11-11,18,3642.272399307406,0.0,607.0453998845677,0.0
2025-11-11,19,3491.9934601360246,0.0,581.9989100226708,0.0
2025-11-11,20,3493.824793712967,0.0,582.3041322854946,0.0
2025-11-11,21,3683.0418743854925,0.0,613.8403123975821,0.0
2025-11-11,22,3769.208663439999,0.0,628.2014439066664,0.0
2025-11-11,23,3818.2976419659544,0.0,636.3829403276591,0.0
2025-11-11,24,3791.3354867989337,0.0,631.8892477998223,0.0
2025-11-11,25,3577.5553319312116,0.0,596.2592219885353,0.0
2025-11-11,26,3550.7254483890697,0.0,591.7875747315117,0.0
2025-11-11,27,3688.9015314539793,0.0,614.8169219089965,0.0
2025-11-11,28,3610.9447478731413,0.0,601.8241246455235,0.0
2025-11-11,29,3561.300435104531,0.0,593.5500725174219,0.0
2025-11-11,30,3633.597039147348,0.0,605.599506524558,0.0
2025-11-11,31,3681.5176533409863,0.0,613.5862755568311,0.0
2025-11-11,32,3833.300028506056,0.0,638.8833380843427,0.0
2025-11-11,33,3895.0040463106798,0.0,649.16734105178,0.0
2025-11-11,34,3625.3654816519625,0.0,604.2275802753271,0.0
2025-11-11,35,4098.030050564874,0.0,683.005008427479,0.0
2025-11-11,36,5063.18971242716,0.0,843.8649520711933,0.0
2025-11-11,37,5129.065092088733,0.0,854.8441820147888,0.0
2025-11-11,38,4931.218747118421,0.0,821.8697911864034,0.0
2025-11-11,39,4928.887457259986,0.0,821.4812428766644,0.0
2025-11-11,40,4914.98307051949,0.0,819.1638450865817,0.0
2025-11-11,41,4825.715199146042,67.40767185945674,804.2858665243403,11.234611976576124
2025-11-11,42,4712.2077784785415,343.6860868752382,785.3679630797569,57.28101447920636
2025-11-11,43,4684.411375102634,626.6171096769143,780.7352291837724,104.43618494615238
2025-11-11,44,4791.4919143811785,913.8261626181011,798.5819857301964,152.30436043635018
2025-11-11,45,4826.376221965575,1216.4066485966557,804.3960369942624,202.73444143277595
2025-11-11,46,4672.045889616255,1528.2338137923418,778.6743149360426,254.70563563205698
2025-11-11,47,5449.342716181664,1864.3533525055896,908.2237860302774,310.7255587509316
2025-11-11,48,6694.037710306296,2201.7526043068456,1115.672951717716,366.95876738447424
2025-11-11,49,6693.044718661056,2502.8156146100296,1115.5074531101761,417.13593576833824
2025-11-11,50,6294.458500582756,2840.779683019672,1049.0764167637926,473.46328050327867
2025-11-11,51,6277.352311649294,3199.9831014151387,1046.2253852748825,533.3305169025231
2025-11-11,52,6561.240582852427,3491.4903791206884,1093.540097142071,581.9150631867814
2025-11-11,53,6579.27129832637,3796.1582858626334,1096.5452163877283,632.6930476437723
2025-11-11,54,6361.0790822130675,4113.946797703584,1060.1798470355113,685.657799617264
2025-11-11,55,6427.380346937024,4367.392526627688,1071.2300578228374,727.898754437948
2025-11-11,56,6444.155218061091,4660.959860451889,1074.0258696768485,776.8266434086481
2025-11-11,57,6337.119021896756,4988.852450399984,1056.1865036494594,831.4754083999974
2025-11-11,58,6396.270006712345,5236.074261974969,1066.0450011187243,872.6790436624948
2025-11-11,59,6452.491630523797,5475.562714587764,1075.4152717539662,912.5937857646273
2025-11-11,60,6413.126018409846,5744.385785820525,1068.8543364016411,957.3976309700874
2025-11-11,61,6363.001577081204,5986.264802117789,1060.5002628468674,997.7108003529648
2025-11-11,62,6312.1296667812285,6117.405893594939,1052.0216111302047,1019.5676489324898
2025-11-11,63,6280.145441205354,6219.922561104827,1046.6909068675589,1036.6537601841378
2025-11-11,64,6297.3139747704,6452.477421038892,1049.5523291284,1075.412903506482
2025-11-11,65,6318.757242978489,6605.531304796511,1053.1262071630815,1100.9218841327518
2025-11-11,66,6378.038417773055,6671.996323329704,1063.0064029621758,1111.9993872216173
2025-11-11,67,6506.792998321291,6846.707298285458,1084.4654997202151,1141.1178830475762
2025-11-11,68,6364.5923935607425,6956.505564457987,1060.7653989267903,1159.4175940763312
2025-11-11,69,6106.069632864187,6957.679906622416,1017.6782721440312,1159.6133177704025
2025-11-11,70,6201.4958197782735,7001.393162625375,1033.5826366297122,1166.8988604375625
2025-11-11,71,6068.036777701662,7115.529994631416,1011.3394629502769,1185.9216657719028
2025-11-11,72,5784.61813008578,7204.541224202163,964.1030216809633,1200.7568707003604
2025-11-11,73,6019.751124335008,7158.765651399759,1003.2918540558347,1193.1276085666266
2025-11-11,74,6110.3605322902595,7161.522721749498,1018.3934220483766,1193.587120291583
2025-11-11,75,5871.754713027141,7216.681415709275,978.6257855045236,1202.7802359515458
2025-11-11,76,5838.753525741545,7142.04949652093,973.1255876235908,1190.3415827534884
2025-11-11,77,6125.091907403448,7021.672370764264,1020.8486512339081,1170.2787284607107
2025-11-11,78,6432.991795022636,6911.98440299498,1072.1652991704393,1151.9974004991634
2025-11-11,79,6330.911214505757,6787.620436702713,1055.151869084293,1131.2700727837855
2025-11-11,80,6040.094694009284,6680.870543508686,1006.6824490015473,1113.4784239181142
2025-11-11,81,5925.10782731325,6571.715999496989,987.517971218875,1095.2859999161649
2025-11-11,82,6153.702062910175,6400.474378091777,1025.6170104850291,1066.7457296819628
2025-11-11,83,6227.344677437022,6216.1329154747955,1037.8907795728371,1036.0221525791326
2025-11-11,84,6127.42834143554,6008.527053084339,1021.2380569059233,1001.4211755140565
2025-11-11,85,6262.013494483419,5713.8389873355945,1043.6689157472365,952.3064978892658
2025-11-11,86,6193.247114114426,5399.230412172496,1032.2078523524044,899.8717353620826
2025-11-11,87,6001.434184515671,5104.936569215193,1000.2390307526119,850.8227615358655
2025-11-11,88,6233.769374015537,4815.482853498862,1038.961562335923,802.5804755831437
2025-11-11,89,6382.622339683436,4533.492467180009,1063.7703899472392,755.5820778633348
2025-11-11,90,6227.434928367036,4230.937939420147,1037.9058213945061,705.1563232366912
2025-11-11,91,6058.043347539652,3879.727941673139,1009.6738912566087,646.6213236121898
2025-11-11,92,5968.635752570703,3587.9755898355297,994.7726254284504,597.995931639255
2025-11-11,93,5959.097436976463,3341.1164649308676,993.1829061627437,556.8527441551446
2025-11-11,94,6002.195703934455,3008.5732045259356,1000.3659506557425,501.42886742098926
2025-11-11,95,6112.811979358318,2624.171433305852,1018.8019965597197,437.36190555097534
2025-11-11,96,6170.926713866663,2263.777003113852,1028.4877856444439,377.296167185642
2025-11-11,97,6021.605416170304,1969.002956761745,1003.6009026950506,328.16715946029086
2025-11-11,98,5940.342545080653,1652.0500975929858,990.0570908467754,275.3416829321643
2025-11-11,99,6008.084184854057,1294.0119581107742,1001.3473641423428,215.66865968512903
2025-11-11,100,6033.675217816273,961.4835755354627,1005.6125363027122,160.24726258924377
2025-11-11,101,5958.741674006137,657.7430584106646,993.1236123343562,109.6238430684441
2025-11-11,102,5901.387470567048,360.60309549164265,983.5645784278413,60.100515915273775
2025-11-11,103,6016.902602880338,75.4322984887399,1002.8171004800564,12.572049748123318
2025-11-11,104,6067.129583483766,0.0,1011.1882639139609,0.0
2025-11-11,105,6114.154566022803,0.0,1019.0257610038005,0.0
2025-11-11,106,6300.754412889125,0.0,1050.125735481521,0.0
2025-11-11,107,5570.459536671754,0.0,928.4099227786256,0.0
2025-11-11,108,4349.970151415165,0.0,724.9950252358608,0.0
2025-11-11,109,4232.97571459303,0.0,705.4959524321716,0.0
2025-11-11,110,4374.53150620603,0.0,729.0885843676716,0.0
2025-11-11,111,4276.851110870508,0.0,712.808518478418,0.0
2025-11-11,112,4302.943428987513,0.0,717.1572381645855,0.0
2025-11-11,113,4359.880986299557,0.0,726.6468310499262,0.0
2025-11-11,114,4382.7994428404145,0.0,730.4665738067357,0.0
2025-11-11,115,4427.191118505685,0.0,737.8651864176142,0.0
2025-11-11,116,4422.903894807018,0.0,737.150649134503,0.0
2025-11-11,117,4358.545329639907,0.0,726.4242216066513,0.0
2025-11-11,118,4308.9123028413915,0.0,718.1520504735653,0.0
2025-11-11,119,4323.753499166106,0.0,720.625583194351,0.0
2025-11-11,120,4390.824028703202,0.0,731.8040047838671,0.0
2025-11-11,121,4443.053480473293,0.0,740.5089134122155,0.0
2025-11-11,122,4416.458737089676,0.0,736.0764561816127,0.0
2025-11-11,123,4328.117547635291,0.0,721.3529246058819,0.0
2025-11-11,124,4255.179680673348,0.0,709.196613445558,0.0
2025-11-11,125,4201.789798445383,0.0,700.2982997408972,0.0
2025-11-11,126,4277.1498189406875,0.0,712.8583031567813,0.0
2025-11-11,127,4550.7941180854095,0.0,758.4656863475683,0.0
2025-11-11,128,4473.684993621021,0.0,745.6141656035035,0.0
2025-11-11,129,4178.729086638921,0.0,696.4548477731536,0.0
2025-11-11,130,4252.298104661872,0.0,708.7163507769786,0.0
2025-11-11,131,3809.2851745387406,0.0,634.8808624231234,0.0
2025-11-11,132,3099.6752815114214,0.0,516.6125469185703,0.0
2025-11-11,133,3322.708173687623,0.0,553.7846956146038,0.0
2025-11-11,134,3479.58497000741,0.0,579.9308283345683,0.0
2025-11-11,135,3225.2573160631396,0.0,537.5428860105233,0.0
2025-11-11,136,3217.491360332761,0.0,536.2485600554602,0.0
2025-11-11,137,3259.6973959415873,0.0,543.2828993235979,0.0
2025-11-11,138,3244.4953789444075,0.0,540.7492298240679,0.0
2025-11-11,139,3312.4149316789744,0.0,552.069155279829,0.0
2025-11-11,140,3339.5261554161752,0.0,556.5876925693625,0.0
2025-11-11,141,3330.572557656192,0.0,555.0954262760321,0.0
2025-11-11,142,3420.830085208774,0.0,570.1383475347957,0.0
2025-11-11,143,3480.4023346783233,0.0,580.0670557797206,0.0
2025-11-11,144,3441.8032330488895,0.0,573.6338721748149,0.0
